participant_id,level_name,age,gender,degree,subjects,age_groups
669e9f5cc2490,level_A,46.0,Female,Graduate degree,IT and Engineering,"[40, 50]"
669e9f5ce72ca,level_A,28.0,Female,High School Diploma,I prefer not to say,"[18, 30]"
669ea009e06f7,level_A,35.0,Non-binary,Undergraduate degree,Other,"[30, 40]"
669ea0b810826,level_A,45.0,Female,Undergraduate degree,Social Sciences,"[40, 50]"
669ea0cb40e7d,level_A,25.0,Male,Graduate degree,IT and Engineering,"[18, 30]"
669ea10c3d911,level_A,33.0,Female,Undergraduate degree,Natural Sciences,"[30, 40]"
669ea1397d962,level_A,52.0,Female,Graduate degree,Other,"[50, 60]"
669ea181eba61,level_A,58.0,Female,Undergraduate degree,Social Sciences,"[50, 60]"
669ea18f9de24,level_B,20.0,Female,High School Diploma,Social Sciences,"[18, 30]"
669ea1a7d5e2b,level_A,37.0,Male,Graduate degree,Social Sciences,"[30, 40]"
669ea1d6c3f84,level_A,29.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea1df424c2,level_A,34.0,Female,Graduate degree,Social Sciences,"[30, 40]"
669ea20a8085d,level_A,38.0,Male,Graduate degree,Social Sciences,"[30, 40]"
669ea21750af3,level_A,40.0,Female,Graduate degree,Other,"[40, 50]"
669ea2624847b,level_B,20.0,Male,High School Diploma,I prefer not to say,"[18, 30]"
669ea29ca1359,level_A,42.0,Female,Graduate degree,Other,"[40, 50]"
669ea2d6f1375,level_B,28.0,Male,Graduate degree,Other,"[18, 30]"
669ea2e5dc218,level_A,58.0,Female,Graduate degree,Social Sciences,"[50, 60]"
669ea30b5f254,level_A,61.0,Female,Undergraduate degree,Other,"[60, 100]"
669ea30d3ded3,level_B,25.0,Female,Graduate degree,Natural Sciences,"[18, 30]"
669ea315dc8be,level_B,41.0,Female,Undergraduate degree,Other,"[40, 50]"
669ea31e8ba7d,level_B,38.0,Male,High School Diploma,I prefer not to say,"[30, 40]"
669ea3242fdf3,level_B,29.0,Male,High School Diploma,IT and Engineering,"[18, 30]"
669ea32be27ed,level_B,39.0,Female,Graduate degree,Other,"[30, 40]"
669ea355117f3,level_B,50.0,Male,Graduate degree,Other,"[50, 60]"
669ea3a27dfed,level_A,20.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea3ad733f7,level_B,47.0,Male,Graduate degree,IT and Engineering,"[40, 50]"
669ea3b229326,level_B,25.0,Male,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea3ba5ae5f,level_B,,Female,Graduate degree,Social Sciences,
669ea3e910945,level_A,24.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea40467bbe,level_B,25.0,Female,Graduate degree,Social Sciences,"[18, 30]"
669ea45ab9ff1,level_B,33.0,Female,High School Diploma,I prefer not to say,"[30, 40]"
669ea4650362e,level_A,40.0,Male,Graduate degree,Other,"[40, 50]"
669ea48e9b3ec,level_A,29.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea4b2d0597,level_B,25.0,Male,Technical/community college,IT and Engineering,"[18, 30]"
669ea4f2285a5,level_B,44.0,Male,Undergraduate degree,Natural Sciences,"[40, 50]"
669ea51870036,level_C,30.0,Female,Undergraduate degree,Natural Sciences,"[30, 40]"
669ea51b09d6e,level_C,24.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea5351f66e,level_A,31.0,Male,Graduate degree,Other,"[30, 40]"
669ea55ee8f22,level_C,42.0,Male,Technical/community college,IT and Engineering,"[40, 50]"
669ea5617387e,level_C,20.0,Male,Undergraduate degree,Mathematics and Statistics,"[18, 30]"
669ea57f52d2a,level_C,23.0,Female,Undergraduate degree,Other,"[18, 30]"
669ea5a99b709,level_B,39.0,Female,Undergraduate degree,Other,"[30, 40]"
669ea5b8c922f,level_C,48.0,Male,Technical/community college,IT and Engineering,"[40, 50]"
669ea5c2b4792,level_A,41.0,Female,Doctorate degree,Other,"[40, 50]"
669ea5c656009,level_C,25.0,Female,Undergraduate degree,IT and Engineering,"[18, 30]"
669ea5d0e878c,level_A,35.0,Male,Undergraduate degree,Other,"[30, 40]"
669ea5fbd978d,level_B,40.0,Male,Technical/community college,Social Sciences,"[40, 50]"
669ea6162f3eb,level_A,55.0,Female,Undergraduate degree,Other,"[50, 60]"
669ea618042c6,level_C,53.0,Female,Graduate degree,Other,"[50, 60]"
669ea63b1c2fc,level_B,60.0,Male,Graduate degree,Other,"[60, 100]"
669ea66244a72,level_B,26.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea66d8c49c,level_A,49.0,Female,Undergraduate degree,Social Sciences,"[40, 50]"
669ea68584c39,level_B,39.0,Female,Technical/community college,Mathematics and Statistics,"[30, 40]"
669ea686678e7,level_B,35.0,Female,Graduate degree,Other,"[30, 40]"
669ea6880e82b,level_A,33.0,Male,Graduate degree,Other,"[30, 40]"
669ea68d89ccf,level_B,34.0,Male,High School Diploma,Other,"[30, 40]"
669ea69626141,level_C,28.0,Female,Graduate degree,Mathematics and Statistics,"[18, 30]"
669ea6a120903,level_B,28.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea6a7c4f1c,level_A,43.0,Male,Graduate degree,Other,"[40, 50]"
669ea6bc122f4,level_A,56.0,Male,Graduate degree,Social Sciences,"[50, 60]"
669ea6c1b3bbb,level_A,41.0,Male,Technical/community college,IT and Engineering,"[40, 50]"
669ea704607fa,level_A,67.0,Female,Graduate degree,Social Sciences,"[60, 100]"
669ea71040b9d,level_B,23.0,Male,Undergraduate degree,Social Sciences,"[18, 30]"
669ea71b37db0,level_C,27.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea71ce060b,level_B,34.0,Female,Graduate degree,Other,"[30, 40]"
669ea72e2f7ec,level_C,48.0,Female,Undergraduate degree,Social Sciences,"[40, 50]"
669ea73241900,level_C,50.0,Female,Graduate degree,Social Sciences,"[50, 60]"
669ea743eb7d0,level_A,21.0,Female,High School Diploma,Other,"[18, 30]"
669ea748b4e45,level_C,27.0,Female,Graduate degree,Social Sciences,"[18, 30]"
669ea7560f8c8,level_C,52.0,Female,Undergraduate degree,IT and Engineering,"[50, 60]"
669ea76cdc956,level_A,46.0,Male,High School Diploma,I prefer not to say,"[40, 50]"
669ea78ed3dd8,level_B,31.0,Male,Graduate degree,Other,"[30, 40]"
669ea799048de,level_B,24.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea7a72e795,level_A,60.0,Male,Graduate degree,IT and Engineering,"[60, 100]"
669ea7ae6c13a,level_A,44.0,Female,Graduate degree,Other,"[40, 50]"
669ea7b949ec5,level_C,25.0,Female,High School Diploma,I prefer not to say,"[18, 30]"
669ea7c2dfd7e,level_B,21.0,Male,I prefer not to say,Mathematics and Statistics,"[18, 30]"
669ea7c718796,level_C,35.0,Female,Graduate degree,IT and Engineering,"[30, 40]"
669ea7db9622d,level_B,43.0,Female,Undergraduate degree,Natural Sciences,"[40, 50]"
669ea7e282b03,level_A,26.0,Female,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea7e3477ba,level_A,37.0,Male,High School Diploma,Other,"[30, 40]"
669ea7e45c648,level_A,41.0,Female,Undergraduate degree,Other,"[40, 50]"
669ea7e6a4137,level_C,38.0,Male,Graduate degree,Other,"[30, 40]"
669ea7eb615c4,level_C,25.0,Female,Graduate degree,Mathematics and Statistics,"[18, 30]"
669ea7ec080e9,level_A,26.0,Male,Undergraduate degree,Natural Sciences,"[18, 30]"
669ea7f10716e,level_C,33.0,Male,Undergraduate degree,Natural Sciences,"[30, 40]"
669ea7fa3c046,level_A,27.0,Female,Undergraduate degree,Social Sciences,"[18, 30]"
669ea802afe94,level_B,37.0,Male,Undergraduate degree,Other,"[30, 40]"
669ea807de53f,level_B,47.0,Female,High School Diploma,Other,"[40, 50]"
