participant_id,level_name,game_id,trial_id,recap,accuracy
669e9f5cc2490,level_A,-2,0,The AI's estimate did not change my guess in this round.,4
669e9f5cc2490,level_A,-3,1,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,62,2,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,69,3,The AI's estimate did not change my guess in this round.,4
669e9f5cc2490,level_A,55,4,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,65,5,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,61,6,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,60,7,The AI's estimate did not change my guess in this round.,2
669e9f5cc2490,level_A,56,8,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,50,9,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,64,10,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,66,11,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,67,12,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,49,13,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,-1,14,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,-2,0,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,-3,1,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,70,15,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,78,2,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,63,16,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,94,3,I won points in this round because I changed my guess based on the AI's estimate.,3
669e9f5cc2490,level_A,68,17,The AI's estimate did not change my guess in this round.,2
669e9f5ce72ca,level_A,92,4,I lost points in this round because I changed my guess based on the AI's estimate.,1
669e9f5cc2490,level_A,57,18,The AI's estimate did not change my guess in this round.,0
669e9f5ce72ca,level_A,84,5,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,59,19,The AI's estimate did not change my guess in this round.,3
669e9f5ce72ca,level_A,85,6,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,54,20,The AI's estimate did not change my guess in this round.,3
669e9f5ce72ca,level_A,88,7,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,71,21,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,87,8,The AI's estimate did not change my guess in this round.,3
669e9f5cc2490,level_A,58,22,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,91,9,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,48,23,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,73,10,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,53,24,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,86,11,The AI's estimate did not change my guess in this round.,1
669e9f5cc2490,level_A,51,25,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,79,12,The AI's estimate did not change my guess in this round.,2
669e9f5cc2490,level_A,52,26,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,76,13,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,-1,14,The AI's estimate did not change my guess in this round.,4
669e9f5ce72ca,level_A,83,15,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,75,16,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,89,17,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,82,18,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,72,19,The AI's estimate did not change my guess in this round.,0
669e9f5ce72ca,level_A,77,20,The AI's estimate did not change my guess in this round.,2
669e9f5ce72ca,level_A,80,21,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,74,22,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,81,23,The AI's estimate did not change my guess in this round.,1
669e9f5ce72ca,level_A,90,24,The AI's estimate did not change my guess in this round.,2
669e9f5ce72ca,level_A,95,25,The AI's estimate did not change my guess in this round.,3
669e9f5ce72ca,level_A,93,26,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,-2,0,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,-3,1,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,38,2,The AI's estimate did not change my guess in this round.,3
669ea009e06f7,level_A,32,3,The AI's estimate did not change my guess in this round.,1
669ea009e06f7,level_A,31,4,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,46,5,The AI's estimate did not change my guess in this round.,3
669ea009e06f7,level_A,29,6,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,36,7,The AI's estimate did not change my guess in this round.,1
669ea009e06f7,level_A,39,8,The AI's estimate did not change my guess in this round.,3
669ea009e06f7,level_A,28,9,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,44,10,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,43,11,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,25,12,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,40,13,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,-1,14,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,45,15,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,47,16,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,26,17,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,27,18,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,24,19,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,35,20,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,30,21,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,34,22,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,41,23,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,33,24,The AI's estimate did not change my guess in this round.,2
669ea009e06f7,level_A,37,25,The AI's estimate did not change my guess in this round.,4
669ea009e06f7,level_A,42,26,The AI's estimate did not change my guess in this round.,2
669ea0b810826,level_A,-2,0,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,-3,1,The AI's estimate did not change my guess in this round.,0
669ea0b810826,level_A,140,2,The AI's estimate did not change my guess in this round.,1
669ea0b810826,level_A,129,3,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,125,4,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,133,5,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,122,6,The AI's estimate did not change my guess in this round.,0
669ea0b810826,level_A,134,7,The AI's estimate did not change my guess in this round.,1
669ea0b810826,level_A,131,8,The AI's estimate did not change my guess in this round.,0
669ea0b810826,level_A,121,9,The AI's estimate did not change my guess in this round.,1
669ea0b810826,level_A,128,10,The AI's estimate did not change my guess in this round.,2
669ea0b810826,level_A,137,11,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,135,12,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,120,13,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,-1,14,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,139,15,The AI's estimate did not change my guess in this round.,1
669ea0b810826,level_A,136,16,I lost points in this round because I changed my guess based on the AI's estimate.,1
669ea0b810826,level_A,142,17,The AI's estimate did not change my guess in this round.,4
669ea0b810826,level_A,130,18,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,124,19,The AI's estimate did not change my guess in this round.,1
669ea0b810826,level_A,143,20,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,127,21,I lost points in this round because I changed my guess based on the AI's estimate.,1
669ea0b810826,level_A,123,22,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,126,23,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,132,24,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,141,25,The AI's estimate did not change my guess in this round.,3
669ea0b810826,level_A,138,26,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,-2,0,The AI's estimate did not change my guess in this round.,4
669ea0cb40e7d,level_A,-3,1,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,353,2,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,337,3,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,357,4,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,344,5,The AI's estimate did not change my guess in this round.,1
669ea0cb40e7d,level_A,359,6,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,338,7,The AI's estimate did not change my guess in this round.,1
669ea0cb40e7d,level_A,351,8,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,347,9,The AI's estimate did not change my guess in this round.,1
669ea0cb40e7d,level_A,358,10,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,348,11,The AI's estimate did not change my guess in this round.,1
669ea0cb40e7d,level_A,343,12,I lost points in this round because I changed my guess based on the AI's estimate.,1
669ea0cb40e7d,level_A,349,13,The AI's estimate did not change my guess in this round.,3
669ea0cb40e7d,level_A,-1,14,The AI's estimate did not change my guess in this round.,3
