participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points,AI_conf_pre
66d08cc4a0f23,level_BP,0,-2,0,0,0,,,0.0,0,Black,Black,Black,1,1,0
66d08cc4a0f23,level_BP,0,-3,1,71,61,,,60.0,14,Red,Red,Black,-1,0,54
66d08cc4a0f23,level_BP,0,23,2,98,93,92.0,92.0,98.46153846153848,20,Red,Red,Red,1,1,92
66d08cc4a0f23,level_BP,0,3,3,7,8,19.0,19.0,27.692307692307693,4,Black,Black,Black,1,2,15
66d08cc4a0f23,level_BP,0,9,4,43,36,41.0,41.0,50.76923076923077,10,Black,Black,Red,-1,1,38
66d08cc4a0f23,level_BP,0,16,5,96,86,76.0,76.0,56.92307692307692,18,Red,Red,Black,-1,0,69
66d08cc4a0f23,level_BP,0,15,6,21,41,56.0,56.0,73.84615384615385,7,Black,Black,Red,-1,-1,62
66d08cc4a0f23,level_BP,0,19,7,81,77,76.0,76.0,89.23076923076924,16,Red,Red,Black,-1,-2,77
66d08cc4a0f23,level_BP,0,13,8,41,68,73.0,73.0,66.15384615384615,9,Black,Red,Red,1,-1,54
66d08cc4a0f23,level_BP,0,11,9,29,48,56.0,56.0,58.46153846153847,7,Black,Black,Red,-1,-2,46
66d08cc4a0f23,level_BP,0,20,10,86,85,86.0,86.0,72.3076923076923,19,Red,Red,Red,1,-1,85
66d08cc4a0f23,level_BP,0,2,11,0,5,19.0,19.0,3.076923076923077,1,Black,Black,Black,1,0,15
66d08cc4a0f23,level_BP,0,21,12,98,97,86.0,86.0,96.92307692307692,19,Red,Red,Red,1,1,85
66d08cc4a0f23,level_BP,0,6,13,39,27,27.0,27.0,18.461538461538463,7,Black,Black,Red,-1,0,31
66d08cc4a0f23,level_BP,0,-1,14,100,100,,,100.0,21,Red,Red,Red,1,1,100
66d08cc4a0f23,level_BP,0,8,15,54,39,40.0,40.0,26.15384615384616,10,Red,Black,Black,1,2,38
66d08cc4a0f23,level_BP,0,12,16,83,57,58.0,58.0,41.53846153846154,17,Red,Red,Black,-1,1,54
66d08cc4a0f23,level_BP,0,18,17,87,81,76.0,76.0,64.61538461538461,18,Red,Red,Red,1,2,77
66d08cc4a0f23,level_BP,0,5,18,5,26,31.0,31.0,35.38461538461539,3,Black,Black,Black,1,3,23
66d08cc4a0f23,level_BP,0,14,19,41,64,73.0,73.0,49.23076923076923,12,Black,Red,Black,-1,2,62
66d08cc4a0f23,level_BP,0,7,20,7,14,31.0,31.0,43.07692307692308,3,Black,Black,Red,-1,1,31
66d08cc4a0f23,level_BP,0,0,21,2,5,8.0,8.0,1.5384615384615383,1,Black,Black,Black,1,2,8
66d08cc4a0f23,level_BP,0,4,22,6,11,31.0,31.0,10.76923076923077,5,Black,Black,Black,1,3,23
66d08cc4a0f23,level_BP,0,22,23,95,95,92.0,92.0,86.15384615384616,20,Red,Red,Black,-1,2,92
66d08cc4a0f23,level_BP,0,17,24,61,71,82.0,82.0,81.53846153846153,12,Red,Red,Red,1,3,69
66d08cc4a0f23,level_BP,0,10,25,62,38,40.0,40.0,33.84615384615385,14,Red,Black,Black,1,4,46
66d08cc4a0f23,level_BP,0,1,26,0,0,8.0,8.0,13.846153846153848,0,Black,Black,Black,1,5,8
66d0976b3ea32,level_BP,0,-2,0,0,0,,,0.0,0,Black,Black,Black,1,1,0
66d0976b3ea32,level_BP,0,-3,1,68,52,,,60.0,14,Red,Red,Black,-1,0,54
66d0976b3ea32,level_BP,0,7,2,9,26,31.0,31.0,43.07692307692308,3,Black,Black,Black,1,1,31
66d0976b3ea32,level_BP,0,2,3,4,14,19.0,19.0,3.076923076923077,1,Black,Black,Black,1,2,15
66d0976b3ea32,level_BP,0,0,4,2,2,8.0,8.0,1.5384615384615383,1,Black,Black,Black,1,3,8
66d0976b3ea32,level_BP,0,22,5,96,96,92.0,92.0,86.15384615384616,20,Red,Red,Red,1,4,92
66d0976b3ea32,level_BP,0,5,6,7,7,31.0,31.0,35.38461538461539,3,Black,Black,Black,1,5,23
66d0976b3ea32,level_BP,0,13,7,18,43,56.0,56.0,66.15384615384615,9,Black,Red,Black,-1,4,54
66d0976b3ea32,level_BP,0,19,8,85,85,76.0,76.0,89.23076923076924,16,Red,Red,Red,1,5,77
66d0976b3ea32,level_BP,0,16,9,89,89,76.0,76.0,56.92307692307692,18,Red,Red,Black,-1,4,69
66d0976b3ea32,level_BP,0,6,10,43,43,27.0,27.0,18.461538461538463,7,Black,Black,Black,1,5,31
66d0976b3ea32,level_BP,0,10,11,81,81,29.0,29.0,33.84615384615385,14,Red,Red,Red,1,6,46
66d0976b3ea32,level_BP,0,20,12,95,95,86.0,86.0,72.3076923076923,19,Red,Red,Black,-1,5,85
66d0976b3ea32,level_BP,0,21,13,95,95,86.0,86.0,96.92307692307692,19,Red,Red,Red,1,6,85
66d0976b3ea32,level_BP,0,-1,14,100,100,,,100.0,21,Red,Red,Red,1,7,100
66d0976b3ea32,level_BP,0,14,15,56,56,68.0,68.0,49.23076923076923,12,Red,Red,Red,1,8,62
66d0976b3ea32,level_BP,0,1,16,0,0,8.0,8.0,13.846153846153848,0,Black,Black,Black,1,9,8
66d0976b3ea32,level_BP,0,8,17,54,47,40.0,40.0,26.15384615384616,10,Red,Black,Black,1,10,38
66d0976b3ea32,level_BP,0,15,18,32,55,73.0,73.0,73.84615384615385,7,Black,Red,Red,1,11,62
66d0976b3ea32,level_BP,0,23,19,97,97,92.0,92.0,98.46153846153848,20,Red,Red,Red,1,12,92
