participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
66a10dfbbd15c,level_B_cal,0,-2,0,0,0,0,,0.0,0,Black,Black,Black,1,1
66a10dfbbd15c,level_B_cal,0,-3,1,70,70,54,,60.0,14,Red,Red,Black,-1,0
66a10dfbbd15c,level_B_cal,0,494,2,66,66,62,,73.84615384615385,13,Red,Red,Black,-1,-1
66a10dfbbd15c,level_B_cal,0,502,3,94,94,92,,98.46153846153848,20,Red,Red,Red,1,0
66a10dfbbd15c,level_B_cal,0,491,4,66,59,54,,41.53846153846154,13,Red,Red,Red,1,1
66a10dfbbd15c,level_B_cal,0,480,5,32,15,8,,13.846153846153848,2,Black,Black,Red,-1,0
66a10dfbbd15c,level_B_cal,0,496,6,63,62,69,,81.53846153846153,12,Red,Black,Black,1,1
66a10dfbbd15c,level_B_cal,0,485,7,55,50,31,,18.461538461538463,8,Red,Red,Black,-1,0
66a10dfbbd15c,level_B_cal,0,500,8,68,74,85,,96.92307692307692,19,Red,Red,Red,1,1
66a10dfbbd15c,level_B_cal,0,493,9,52,56,62,,49.23076923076923,14,Black,Black,Black,1,2
66a10dfbbd15c,level_B_cal,0,484,10,37,35,23,,35.38461538461539,3,Black,Black,Red,-1,1
66a10dfbbd15c,level_B_cal,0,486,11,80,21,31,,43.07692307692308,2,Black,Black,Red,-1,0
66a10dfbbd15c,level_B_cal,0,497,12,58,58,77,,64.61538461538461,18,Black,Black,Black,1,1
66a10dfbbd15c,level_B_cal,0,489,13,56,56,46,,33.84615384615385,12,Red,Red,Red,1,2
66a10dfbbd15c,level_B_cal,0,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,3
66a10dfbbd15c,level_B_cal,0,487,15,56,56,38,,26.15384615384616,11,Red,Black,Red,-1,2
66a10dfbbd15c,level_B_cal,0,490,16,26,26,46,,58.46153846153847,3,Black,Black,Black,1,3
66a10dfbbd15c,level_B_cal,0,479,17,12,12,8,,1.5384615384615383,1,Black,Black,Black,1,4
66a10dfbbd15c,level_B_cal,0,499,18,97,87,85,,72.3076923076923,18,Red,Red,Red,1,5
66a10dfbbd15c,level_B_cal,0,495,19,71,69,69,,56.92307692307692,17,Red,Black,Red,-1,4
66a10dfbbd15c,level_B_cal,0,488,20,16,16,38,,50.76923076923077,3,Black,Black,Red,-1,3
